"Zona portuaria","Sociedad Portuaria","Tipo de embalaje","Exportación","Importación","Transbordo","Tránsito Internacional","Fluvial","Cabotaje","vigencia_anno","vigencia_mes"
"SANTA MARTA","SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA","TEUS vacios","881","1.323","145",,,"12","2.018","2"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS llenos","3.615","10.332","4.459",,,,"2.018","2"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS vacios","1.863","800",,,,,"2.018","2"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS vacios","1.311","2",,,,,"2.018","2"
"TURBO","C.I. UNIÓN DE BANANEROS DE URABA S.A. - UNIBAN","TEUS llenos","4.865","973",,,,"46","2.018","2"
"CARTAGENA","PUERTO DE MAMONAL S.A.","TEUS vacios",,"17",,,,,"2.018","2"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS vacios","6.905",,"5.842",,,,"2.018","2"
"CARTAGENA","PUERTO DE MAMONAL S.A.","TEUS llenos",,"9",,,,,"2.018","2"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS vacios","3.332","273","19.129",,,,"2.018","2"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS vacios","2.536","283","7.678",,,,"2.018","2"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS llenos",,,,,,"415","2.018","2"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS llenos","1.360","2.128","447","1.346",,,"2.018","2"
"SANTA MARTA","SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA","TEUS llenos","1.001","2.809",,,,,"2.018","2"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS llenos","3.863","6.120","23.060",,,,"2.018","3"
"TURBO","C.I. UNIÓN DE BANANEROS DE URABA S.A. - UNIBAN","TEUS llenos","5.470","867",,,,"1.166","2.018","3"
"CARTAGENA","PUERTO DE MAMONAL S.A.","TEUS vacios",,"4",,,,,"2.018","3"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS llenos","2.089","2.613","565","1.834",,,"2.018","3"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS vacios","2.087","279","7.347",,,,"2.018","3"
"GUAJIRA","CERREJON ZONA NORTE S.A.","TEUS vacios",,"96",,,,,"2.018","3"
"SANTA MARTA","SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA","TEUS llenos","180","3.613",,,,,"2.018","3"
"CARTAGENA","PUERTO DE MAMONAL S.A.","TEUS llenos","2",,,,,,"2.018","3"
"GUAJIRA","CERREJON ZONA NORTE S.A.","TEUS llenos",,"102",,,,,"2.018","3"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS vacios","184","1",,,,"498","2.018","3"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS vacios",,,"4",,,"50","2.018","3"
"TURBO","PROMOTORA BANANERA S.A","TEUS llenos","868",,,,,"114","2.018","3"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS vacios","2.930","573",,,,,"2.018","3"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS llenos",,"306",,,,"528","2.018","3"
"BARRANQUILLA","PALERMO SOCIEDAD PORTUARIA S.A","TEUS llenos",,"0",,,,,"2.018","3"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS vacios","7.093","12","7.112",,,,"2.018","3"
