"Zona portuaria","Sociedad Portuaria","Tipo de embalaje","Exportación","Importación","Transbordo","Tránsito Internacional","Fluvial","Cabotaje","vigencia_anno","vigencia_mes"
"BARRANQUILLA","PALERMO SOCIEDAD PORTUARIA S.A","TEUS vacios",,"64",,,,,"2.020","3"
"GUAJIRA","CERREJON ZONA NORTE S.A.","TEUS vacios","47",,,,,,"2.020","3"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS vacios","1.499","912",,,,"1.199","2.020","3"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS vacios","6.597",,"755",,,,"2.020","3"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS vacios","8.188","1.905","20.500",,,"1.325","2.020","3"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS llenos","976","1.609","310","1.794",,,"2.020","3"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS vacios",,,,,,"37","2.020","3"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS llenos","2.584","8.873",,,,"444","2.020","3"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS vacios",,,"200",,,"27","2.020","3"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS vacios","3.704","1.218","8.022",,,"915","2.020","3"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS llenos",,"5","24",,,"37","2.020","3"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS llenos","9.192","11.634","31.315",,,"1.373","2.020","3"
"CARTAGENA","PUERTO DE MAMONAL S.A.","TEUS llenos",,"2",,,,,"2.020","3"
"TURBO","C.I. UNIÓN DE BANANEROS DE URABA S.A. - UNIBAN","TEUS llenos","1.506","457",,,,"3.200","2.020","4"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","TEUS llenos","7.080","13.926","2.772",,,,"2.020","4"
"GUAJIRA","CERREJON ZONA NORTE S.A.","TEUS llenos",,"42",,,,,"2.020","4"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS vacios","88",,,,,"262","2.020","4"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS llenos",,"69",,,,"323","2.020","4"
"BARRANQUILLA","PALERMO SOCIEDAD PORTUARIA S.A","TEUS llenos",,"25",,,,,"2.020","4"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","TEUS vacios","8.569","1.429",,,,,"2.020","4"
"BARRANQUILLA","PALERMO SOCIEDAD PORTUARIA S.A","TEUS vacios",,"3",,,,,"2.020","4"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS llenos","10.325","18.781","105.144",,,"5.504","2.020","4"
"SANTA MARTA","SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA","TEUS llenos","7.065","4",,,,,"2.020","4"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS vacios","9.719","1.568","20.249",,,"2.079","2.020","4"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS llenos",,"16","2",,,,"2.020","4"
"TURBO","PROMOTORA BANANERA S.A","TEUS llenos","430",,,,,"600","2.020","4"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS llenos","3.523","10.976","1.089",,,,"2.020","4"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS vacios","4.548","99","7.965",,,"144","2.020","4"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS vacios","7.837","400","2.363",,,,"2.020","4"
"SANTA MARTA","SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA","TEUS vacios","484","8.246","4",,,"2.966","2.020","4"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS llenos","2.180","14.650",,,,"1.059","2.020","4"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS vacios",,,,,,"29","2.020","4"
"TURBO","C.I. UNIÓN DE BANANEROS DE URABA S.A. - UNIBAN","TEUS vacios","4.663",,,,,,"2.020","4"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS vacios","1.748","626",,,,"965","2.020","4"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS llenos","672","895","223","1.438",,,"2.020","4"
"GUAJIRA","CERREJON ZONA NORTE S.A.","TEUS vacios","16",,,,,,"2.020","4"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS llenos","2.191","4.756","8","48",,"42","2.020","4"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS llenos",,,,,,"226","2.020","4"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS llenos","5.960","12.101","31.085",,,"1.385","2.020","4"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS vacios","5.747","6",,,,"1","2.020","4"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS vacios",,,"64",,,,"2.020","4"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS vacios","515","632","306","588",,,"2.020","4"
"CARTAGENA","PUERTO DE MAMONAL S.A.","TEUS llenos",,"3",,,,,"2.020","4"
"SANTA MARTA","SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA","TEUS vacios",,"1.352","6",,,"2.175","2.020","5"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS vacios","12.756","5",,,,"5","2.020","5"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS llenos","4.204","6.288","475",,,,"2.020","5"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS vacios","6.587","10","2.445",,,,"2.020","5"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS vacios",,,,,,"19","2.020","5"
"GUAJIRA","CERREJON ZONA NORTE S.A.","TEUS llenos","4","18",,,,,"2.020","5"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","TEUS vacios","10.359","14","591",,,,"2.020","5"
"TURBO","PROMOTORA BANANERA S.A","TEUS llenos","422",,,,,"472","2.020","5"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS llenos","7.014","8.830","38.349",,,"1.072","2.020","5"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS vacios","85",,,,,"341","2.020","5"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS llenos","3.682","3.754","2","17",,"18","2.020","5"
"TURBO","C.I. UNIÓN DE BANANEROS DE URABA S.A. - UNIBAN","TEUS vacios","3.729",,,,,,"2.020","5"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS vacios","5.797","668","5.037",,,"193","2.020","5"
"BARRANQUILLA","PALERMO SOCIEDAD PORTUARIA S.A","TEUS vacios",,"10",,,,,"2.020","5"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS llenos","10.984","14.852","100.004",,,"4.394","2.020","5"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","TEUS llenos","7.486","12.878","3.114",,,,"2.020","5"
"TURBO","C.I. UNIÓN DE BANANEROS DE URABA S.A. - UNIBAN","TEUS llenos","1.191","310",,,,"2.041","2.020","5"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS vacios","290","10","45","250",,,"2.020","5"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS llenos","2.311","11.993",,,,"1.104","2.020","5"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS vacios","1.561","881",,,,"999","2.020","5"
"CARTAGENA","PUERTO DE MAMONAL S.A.","TEUS llenos","12",,,,,,"2.020","5"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS llenos","12","100",,,,"305","2.020","5"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS vacios",,,"6",,,,"2.020","5"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS llenos","981","714","305","1.145",,,"2.020","5"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS llenos",,,,,,"256","2.020","5"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS vacios","10.036","1.128","18.273",,,"1.502","2.020","5"
"BARRANQUILLA","PALERMO SOCIEDAD PORTUARIA S.A","TEUS llenos","6",,,,,,"2.020","5"
"GUAJIRA","CERREJON ZONA NORTE S.A.","TEUS vacios","34",,,,,,"2.020","5"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS vacios","6.065","1.754","20.338",,,"1.092","2.020","6"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","TEUS vacios","4.374","315","4",,,,"2.020","6"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS vacios",,,,,,"24","2.020","6"
"CARTAGENA","PUERTO DE MAMONAL S.A.","TEUS llenos","13",,,,,,"2.020","6"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS llenos","1.135","851","325","1.455",,,"2.020","6"
"TURBO","C.I. UNIÓN DE BANANEROS DE URABA S.A. - UNIBAN","TEUS vacios","2.797",,,,,,"2.020","6"
"SANTA MARTA","SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA","TEUS vacios",,"1.204","2",,,"1.515","2.020","6"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS vacios","7.172","259",,,,,"2.020","6"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS vacios",,,"8",,,"7","2.020","6"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS llenos",,"105",,,,"358","2.020","6"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS llenos","9.106","8.941","34.910",,,"1.163","2.020","6"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS vacios","966","889",,,,"763","2.020","6"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS llenos","3.295","8.059","948",,,,"2.020","6"
"TURBO","PROMOTORA BANANERA S.A","TEUS llenos","394",,,,,"342","2.020","6"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS llenos","3.625","3.641","6","42",,"26","2.020","6"
"BARRANQUILLA","PALERMO SOCIEDAD PORTUARIA S.A","TEUS llenos","6","2",,,,,"2.020","6"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS llenos","2.544","11.347",,,,"394","2.020","6"
"GUAJIRA","CERREJON ZONA NORTE S.A.","TEUS llenos",,"24",,,,,"2.020","6"
"GUAJIRA","CERREJON ZONA NORTE S.A.","TEUS vacios","39",,,,,,"2.020","6"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS vacios","2.677","496","1.852",,,,"2.020","6"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS vacios","260","534","59","116",,,"2.020","6"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS llenos",,"16",,,,"7","2.020","6"
"BARRANQUILLA","PALERMO SOCIEDAD PORTUARIA S.A","TEUS vacios",,"32",,,,,"2.020","6"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS llenos","11.966","13.437","91.715",,,"3.856","2.020","6"
"TURBO","C.I. UNIÓN DE BANANEROS DE URABA S.A. - UNIBAN","TEUS llenos","833","276",,,,"2.060","2.020","6"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS vacios","2.077","446","5.679",,,"421","2.020","6"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","TEUS llenos","8.140","8.278","1.781",,,,"2.020","6"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS llenos",,,,,,"209","2.020","6"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS vacios","155","1",,,,"313","2.020","6"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS llenos","2.982","14.264",,,,"583","2.020","7"
"TURBO","C.I. UNIÓN DE BANANEROS DE URABA S.A. - UNIBAN","TEUS vacios","3.595",,,,,,"2.020","7"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS vacios","6.748","318",,,,"144","2.020","7"
"TURBO","C.I. UNIÓN DE BANANEROS DE URABA S.A. - UNIBAN","TEUS llenos","1.036","362",,,,"2.697","2.020","7"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS llenos","3.647","3.821","13","53",,"43","2.020","7"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS llenos","12.847","14.356","97.744",,,"3.910","2.020","7"
"BARRANQUILLA","PALERMO SOCIEDAD PORTUARIA S.A","TEUS vacios",,"48",,,,,"2.020","7"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS llenos","9.365","9.549","38.923",,,"1.240","2.020","7"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS vacios","2.631","2.564","9.658",,,"786","2.020","7"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS vacios","2.472","380","3.004",,,,"2.020","7"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS vacios","1.201","1.525",,,,"789","2.020","7"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS vacios","98","367","180","151",,,"2.020","7"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS vacios",,,,,,"22","2.020","7"
"GUAJIRA","CERREJON ZONA NORTE S.A.","TEUS llenos","2","32",,,,,"2.020","7"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS llenos","1.244","929","373","1.769",,,"2.020","7"
"GUAJIRA","CERREJON ZONA NORTE S.A.","TEUS vacios","37",,,,,,"2.020","7"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS llenos","4.580","9.112","912",,,,"2.020","7"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS vacios","95",,,,,"461","2.020","7"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS llenos",,,,,,"291","2.020","7"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","TEUS llenos","8.093","11.706","2.298",,,,"2.020","7"
"CARTAGENA","PUERTO DE MAMONAL S.A.","TEUS llenos",,"3",,,,,"2.020","7"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS vacios","3.164","2.527","16.730",,,"385","2.020","7"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS llenos",,"26",,,,"6","2.020","7"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","TEUS vacios","5.176","659","501",,,,"2.020","7"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS vacios",,,"70",,,,"2.020","7"
"SANTA MARTA","SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA","TEUS vacios","848","1.282","38",,,"1.867","2.020","7"
"TURBO","PROMOTORA BANANERA S.A","TEUS llenos","532",,,,,"426","2.020","7"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS llenos","1","98",,,,"489","2.020","7"
"TURBO","C.I. UNIÓN DE BANANEROS DE URABA S.A. - UNIBAN","TEUS vacios","4.857",,,,,,"2.020","8"
"GUAJIRA","CERREJON ZONA NORTE S.A.","TEUS vacios",,"39",,,,,"2.020","8"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS llenos","14.467","19.062","118.530",,,"5.105","2.020","8"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS llenos",,"4","6",,,"22","2.020","8"
"CARTAGENA","PUERTO DE MAMONAL S.A.","TEUS llenos","7","1",,,,,"2.020","8"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS vacios","2.356","1.550","8.093",,,"902","2.020","8"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","TEUS llenos","10.305","14.438","1.723",,,,"2.020","8"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS llenos","1","94",,,,"408","2.020","8"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS llenos","5.560","9.893","1.552",,,,"2.020","8"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS vacios","46","124","184","486",,,"2.020","8"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS vacios","4.428","791","900",,,,"2.020","8"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS vacios","7.065",,,,,"40","2.020","8"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS llenos",,,,,,"284","2.020","8"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS llenos","2.979","15.580",,,,"1.093","2.020","8"
"TURBO","C.I. UNIÓN DE BANANEROS DE URABA S.A. - UNIBAN","TEUS llenos","1.091","361",,,,"3.490","2.020","8"
"GUAJIRA","CERREJON ZONA NORTE S.A.","TEUS llenos",,"34",,,,,"2.020","8"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS vacios","747","1.374",,,,"1.319","2.020","8"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS llenos","1.171","1.138","303","1.496",,,"2.020","8"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS vacios","98",,,,,"432","2.020","8"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS vacios","5.197","1.577","18.467",,,"1.238","2.020","8"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS vacios",,,"54",,,,"2.020","8"
"SANTA MARTA","SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA","TEUS vacios","1.973","1.628","20",,,"1.948","2.020","8"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS llenos","4.801","4.636","7","24",,"28","2.020","8"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","TEUS vacios","6.604","1.037","405",,,,"2.020","8"
"TURBO","PROMOTORA BANANERA S.A","TEUS llenos","464",,,,,"396","2.020","8"
"BARRANQUILLA","PALERMO SOCIEDAD PORTUARIA S.A","TEUS vacios",,"34",,,,,"2.020","8"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS vacios",,,,,,"18","2.020","8"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS llenos","8.565","8.955","38.107",,,"1.841","2.020","8"
"TURBO","C.I. UNIÓN DE BANANEROS DE URABA S.A. - UNIBAN","TEUS llenos","1.577","452",,,,"3.268","2.020","9"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS llenos","4.042","5.159",,"5",,,"2.020","9"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS llenos","15.850","18.484","120.884",,,"4.856","2.020","9"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS vacios","122",,,,,"501","2.020","9"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS llenos",,,,,,"236","2.020","9"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS llenos","3.762","9.461","1.509",,,,"2.020","9"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS vacios","5.612","2.199","19.087",,,"1.031","2.020","9"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS llenos",,"96",,,,"475","2.020","9"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS vacios","3.468","300","874",,,,"2.020","9"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS llenos","7.686","9.239","30.862",,,"1.690","2.020","9"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS vacios",,,"58",,,,"2.020","9"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS llenos","2.727","16.147",,,,"2.201","2.020","9"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS llenos",,"44","4",,,,"2.020","9"
"TURBO","PROMOTORA BANANERA S.A","TEUS llenos","548",,,,,"390","2.020","9"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","TEUS vacios","4.111","296","12",,,,"2.020","9"
"BARRANCABERMEJA","SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.","TEUS vacios",,,,,"120",,"2.020","9"
"SANTA MARTA","SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA","TEUS llenos","4.578",,,,,,"2.020","9"
"TURBO","C.I. UNIÓN DE BANANEROS DE URABA S.A. - UNIBAN","TEUS vacios","6.200",,,,,,"2.020","9"
"SANTA MARTA","SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA","TEUS vacios","2.277","1.469","4",,,"2.254","2.020","9"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS llenos","1.170","973","452","1.724",,,"2.020","9"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","TEUS llenos","9.911","10.278","2.001",,,,"2.020","9"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS vacios","277","46","166","1.115",,,"2.020","9"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS vacios","10.185","8",,,,"122","2.020","9"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS vacios","1.552","1.769",,,,"825","2.020","9"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS vacios","3.265","1.582","6.894",,,"1.264","2.020","9"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS vacios",,,,,,"27","2.020","9"
"BARRANQUILLA","PALERMO SOCIEDAD PORTUARIA S.A","TEUS llenos","8","16",,,,,"2.020","9"
"BARRANQUILLA","PALERMO SOCIEDAD PORTUARIA S.A","TEUS vacios",,"48",,,,,"2.020","9"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS vacios","1.615","1.124",,,,"467","2.020","10"
"BARRANQUILLA","PALERMO SOCIEDAD PORTUARIA S.A","TEUS llenos","2","8",,,,,"2.020","10"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","TEUS llenos","10.628","14.462","1.840",,,,"2.020","10"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS llenos","5.699","12.916","1.846",,,,"2.020","10"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS llenos","1.384","1.041","532","2.612",,,"2.020","10"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS vacios","5.325","1.653","20.044",,,"1.191","2.020","10"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS vacios",,,,,,"32","2.020","10"
"TURBO","C.I. UNIÓN DE BANANEROS DE URABA S.A. - UNIBAN","TEUS llenos","1.569","435",,,,"4.223","2.020","10"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS vacios","96",,,,,"342","2.020","10"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS llenos","4.877","16.572",,,,"763","2.020","10"
"BARRANQUILLA","PALERMO SOCIEDAD PORTUARIA S.A","TEUS vacios","2","46",,,,,"2.020","10"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS vacios",,,"8",,,,"2.020","10"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS vacios","3.767","1.542","4.347",,,"1.408","2.020","10"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS llenos","3.936","5.094","4","4",,,"2.020","10"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS llenos",,,,,,"322","2.020","10"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS llenos","8.622","11.352","33.608",,,"2.029","2.020","10"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS llenos","19","85",,,,"404","2.020","10"
"SANTA MARTA","SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA","TEUS vacios","1.767","1.138","3",,,"2.587","2.020","10"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS vacios","3.727","509","446",,,,"2.020","10"
"TURBO","C.I. UNIÓN DE BANANEROS DE URABA S.A. - UNIBAN","TEUS vacios","5.476",,,,,,"2.020","10"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS llenos",,"8",,,,,"2.020","10"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS vacios","98","44","60","642",,,"2.020","10"
